adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0000277948-09-000066	FuelCosts	us-gaap/2008		20090331	1	USD	191000000.0000	
0000950134-09-009913	IncomeLossFromContinuingOperationsBeforeMinorityInterestButAfterIncomeLossFromEquityMethodInvestmentsAndIncomeTax	0000950134-09-009913		20090331	1	USD	-1154854000.0000	
0000277948-09-000066	IncreaseDecreaseInOtherOperatingLiabilities	us-gaap/2008		20080331	1	USD	9000000.0000	
0000796343-09-000026	DeferredTaxAssetsNetCurrent	us-gaap/2008		20081130	0	USD	110713000.0000	
0000796343-09-000026	NetCashProvidedByUsedInInvestingActivities	us-gaap/2008		20080531	2	USD	259669000.0000	
0000950134-09-009913	CostsInExcessOfBillingsOnUncompletedContractsOrProgramsExpectedToBeCollectedWithinOneYear	us-gaap/2008		20090331	0	USD	16234000.0000	
0001193125-09-101273	LongTermDebtCurrent	us-gaap/2008		20081231	0	USD	758400000.0000	
0001104659-09-029605	ProvisionForDoubtfulAccounts	us-gaap/2008		20080331	1	USD	715000.0000	
0000277948-09-000066	PropertyPlantAndEquipmentGross	us-gaap/2008		20081231	0	USD	30208000000.0000	
0000277948-09-000066	InlandTransportation	0000277948-09-000066		20090331	1	USD	58000000.0000	
0001031296-09-000011	InvestmentIncomeInterestAndDividend	us-gaap/2008		20090331	1	USD	-11000000.0000	
0000092380-09-000018	OperatingExpenses	us-gaap/2008		20080331	1	USD	2442000000.0000	
0001193125-09-101273	EarningsPerShareDiluted	us-gaap/2008		20080331	1	USD	0.4400	
0000092380-09-000018	RetainedEarningsAccumulatedDeficit	us-gaap/2008		20090331	0	USD	4819000000.0000	
